NAME,"Median
income","Standard
error"
United States,63179,420
Alabama,49936,2423
Alaska,68734,3390
Arizona,62283,2291
Arkansas,49781,2108
California,70489,1233
Colorado,73034,3562
Connecticut,72812,5119
Delaware,65012,3599
D.C.,85750,2659
Florida,54644,1887
Georgia,55821,2032
Hawaii,80108,3482
Idaho,58728,2405
Illinois,70145,2253
Indiana,59892,1997
Iowa,68718,2910
Kansas,63938,2027
Kentucky,54555,3668
Louisiana,49973,1754
Maine,58663,5683
Maryland,86223,3331
Massachusetts,86345,2785
Michigan,60449,1906
Minnesota,71817,3656
Mississippi,42781,2304
Missouri,61726,2442
Montana,57679,2876
Nebraska,67575,3933
Nevada,61864,2116
New Hampshire,81346,3394
New Jersey,74176,2845
New Mexico,48283,2202
New York,67274,1722
North Carolina,53369,1761
North Dakota,66505,3095
Ohio,61633,2254
Oklahoma,54434,2774
Oregon,69165,3655
Pennsylvania,64524,1635
Rhode Island,62266,3348
South Carolina,57444,2082
South Dakota,59463,2642
Tennessee,56060,1442
Texas,59785,1372
Utah,77067,2327
Vermont,70066,2350
Virginia,77151,3086
Washington,79726,3025
West Virginia,50573,1337
Wisconsin,62629,2039
Wyoming,62539,3892